Historical Data Export for XAUUSD
Date Range: 2025.10.21 to 2025.10.22
Generated: 2025.10.26 15:52:50
Daily Only Mode: No

===========================================
FULL MULTI-TIMEFRAME DATA (TRAINING SET)
===========================================

SCALPING: 1-MINUTE CHART (Execution Timeframe)
===========================================
Timestamp,Open,High,Low,Close,Volume
2025.10.22 09:13:00,4138.67000,4139.24000,4136.23000,4136.32000,821
2025.10.22 09:14:00,4136.32000,4138.05000,4136.25000,4137.62000,595
2025.10.22 09:15:00,4137.62000,4138.52000,4136.89000,4138.13000,747
2025.10.22 09:16:00,4138.13000,4138.53000,4135.81000,4136.18000,800
2025.10.22 09:17:00,4136.19000,4139.47000,4135.55000,4138.78000,795
2025.10.22 09:18:00,4138.78000,4138.78000,4135.95000,4136.04000,745
2025.10.22 09:19:00,4136.04000,4138.05000,4136.04000,4137.97000,592
2025.10.22 09:20:00,4137.97000,4138.16000,4136.41000,4138.14000,454
2025.10.22 09:21:00,4138.14000,4138.77000,4137.35000,4138.60000,381
2025.10.22 09:22:00,4138.60000,4141.05000,4138.47000,4140.35000,394
2025.10.22 09:23:00,4140.35000,4141.24000,4139.11000,4139.28000,537
2025.10.22 09:24:00,4139.31000,4140.85000,4139.23000,4140.28000,395
2025.10.22 09:25:00,4140.28000,4140.85000,4139.84000,4140.54000,505
2025.10.22 09:26:00,4140.54000,4143.46000,4140.17000,4142.27000,693
2025.10.22 09:27:00,4142.27000,4143.74000,4140.50000,4143.04000,670
2025.10.22 09:28:00,4143.04000,4143.26000,4140.53000,4141.77000,769
2025.10.22 09:29:00,4141.76000,4142.55000,4141.70000,4141.90000,628
2025.10.22 09:30:00,4141.90000,4144.05000,4141.70000,4143.27000,571
2025.10.22 09:31:00,4143.27000,4149.04000,4142.99000,4147.75000,1193
2025.10.22 09:32:00,4147.75000,4147.75000,4145.54000,4147.38000,730
2025.10.22 09:33:00,4147.38000,4147.55000,4145.00000,4145.78000,771
2025.10.22 09:34:00,4145.78000,4146.68000,4144.91000,4146.61000,596
2025.10.22 09:35:00,4146.61000,4147.75000,4145.68000,4147.28000,656
2025.10.22 09:36:00,4147.28000,4149.42000,4146.57000,4149.34000,699
2025.10.22 09:37:00,4149.34000,4150.46000,4147.83000,4148.35000,851
2025.10.22 09:38:00,4148.35000,4149.44000,4148.04000,4148.94000,645
2025.10.22 09:39:00,4148.94000,4149.66000,4148.08000,4149.15000,608
2025.10.22 09:40:00,4149.15000,4150.48000,4148.43000,4150.41000,701
2025.10.22 09:41:00,4150.41000,4151.02000,4149.70000,4150.22000,545
2025.10.22 09:42:00,4150.22000,4155.72000,4150.22000,4155.71000,829
2025.10.22 09:43:00,4155.71000,4158.43000,4155.20000,4158.26000,1227
2025.10.22 09:44:00,4158.26000,4159.48000,4157.96000,4159.35000,920
2025.10.22 09:45:00,4159.35000,4159.51000,4153.26000,4153.96000,1216
2025.10.22 09:46:00,4153.96000,4158.17000,4152.32000,4156.93000,1023
2025.10.22 09:47:00,4156.91000,4160.73000,4156.59000,4160.53000,1487
2025.10.22 09:48:00,4160.53000,4160.81000,4155.84000,4156.40000,955
2025.10.22 09:49:00,4156.40000,4157.32000,4155.65000,4156.66000,707
2025.10.22 09:50:00,4156.66000,4158.72000,4156.21000,4157.67000,688
2025.10.22 09:51:00,4157.67000,4158.26000,4156.39000,4156.83000,599
2025.10.22 09:52:00,4156.83000,4159.91000,4156.51000,4159.90000,626
2025.10.22 09:53:00,4159.90000,4160.00000,4156.92000,4158.54000,697
2025.10.22 09:54:00,4158.54000,4161.01000,4158.31000,4160.15000,561
2025.10.22 09:55:00,4160.15000,4161.39000,4158.62000,4159.73000,935
2025.10.22 09:56:00,4159.73000,4160.20000,4157.00000,4158.86000,914
2025.10.22 09:57:00,4158.86000,4159.14000,4157.40000,4158.76000,789
2025.10.22 09:58:00,4158.76000,4158.88000,4156.63000,4157.18000,721
2025.10.22 09:59:00,4157.18000,4157.79000,4155.54000,4155.76000,770
2025.10.22 10:00:00,4155.76000,4156.41000,4153.23000,4153.76000,1301
2025.10.22 10:01:00,4153.76000,4156.25000,4149.77000,4150.82000,1557
2025.10.22 10:02:00,4150.82000,4153.38000,4150.24000,4152.09000,1094
2025.10.22 10:03:00,4152.09000,4152.46000,4147.38000,4148.33000,1302
2025.10.22 10:04:00,4148.33000,4148.33000,4141.58000,4141.96000,2096
2025.10.22 10:05:00,4141.96000,4144.44000,4140.22000,4140.56000,1681
2025.10.22 10:06:00,4140.56000,4141.22000,4129.54000,4131.04000,2549
2025.10.22 10:07:00,4131.04000,4138.14000,4130.72000,4134.17000,2685
2025.10.22 10:08:00,4134.17000,4134.90000,4130.38000,4133.03000,2284
2025.10.22 10:09:00,4133.03000,4139.72000,4132.70000,4139.72000,1974
2025.10.22 10:10:00,4139.72000,4145.16000,4139.14000,4144.38000,1914
2025.10.22 10:11:00,4144.38000,4145.63000,4141.07000,4144.58000,1301
2025.10.22 10:12:00,4144.58000,4144.64000,4138.63000,4140.11000,940
2025.10.22 10:13:00,4140.11000,4141.91000,4138.06000,4139.14000,1276
2025.10.22 10:14:00,4139.14000,4140.47000,4134.99000,4137.66000,1572
2025.10.22 10:15:00,4137.66000,4143.54000,4137.64000,4143.37000,1473
2025.10.22 10:16:00,4143.37000,4143.58000,4138.04000,4138.11000,1871
2025.10.22 10:17:00,4138.11000,4141.76000,4137.87000,4139.39000,1344
2025.10.22 10:18:00,4139.37000,4140.94000,4138.93000,4139.81000,830
2025.10.22 10:19:00,4139.81000,4141.12000,4138.48000,4139.81000,979
2025.10.22 10:20:00,4139.80000,4143.02000,4138.90000,4141.66000,908
2025.10.22 10:21:00,4141.66000,4144.78000,4141.59000,4141.94000,1021
2025.10.22 10:22:00,4141.94000,4143.58000,4138.20000,4138.50000,1492
2025.10.22 10:23:00,4138.50000,4140.94000,4136.72000,4139.50000,1674
2025.10.22 10:24:00,4139.50000,4139.70000,4136.80000,4138.25000,1133
2025.10.22 10:25:00,4138.25000,4141.31000,4136.98000,4141.30000,1132
2025.10.22 10:26:00,4141.30000,4142.86000,4140.21000,4142.54000,923
2025.10.22 10:27:00,4142.54000,4143.90000,4140.35000,4142.34000,1014
2025.10.22 10:28:00,4142.34000,4144.47000,4141.86000,4144.34000,732
2025.10.22 10:29:00,4144.34000,4144.71000,4140.61000,4141.93000,865
2025.10.22 10:30:00,4141.93000,4142.79000,4141.17000,4142.30000,820
2025.10.22 10:31:00,4142.30000,4142.84000,4138.99000,4139.08000,1015
2025.10.22 10:32:00,4139.08000,4142.90000,4138.79000,4142.21000,971
2025.10.22 10:33:00,4142.21000,4143.85000,4137.22000,4137.26000,983
2025.10.22 10:34:00,4137.26000,4139.83000,4136.83000,4139.83000,1042
2025.10.22 10:35:00,4139.83000,4142.31000,4138.76000,4139.01000,949
2025.10.22 10:36:00,4139.01000,4139.49000,4137.65000,4138.70000,792
2025.10.22 10:37:00,4138.70000,4138.95000,4135.69000,4137.18000,1011
2025.10.22 10:38:00,4137.18000,4138.07000,4135.60000,4137.47000,780
2025.10.22 10:39:00,4137.47000,4139.76000,4137.34000,4137.39000,631
2025.10.22 10:40:00,4137.39000,4139.91000,4137.39000,4138.24000,888
2025.10.22 10:41:00,4138.24000,4138.99000,4136.59000,4138.61000,731
2025.10.22 10:42:00,4138.61000,4140.62000,4137.53000,4139.47000,850
2025.10.22 10:43:00,4139.47000,4140.62000,4138.56000,4140.44000,726
2025.10.22 10:44:00,4140.44000,4141.28000,4137.10000,4137.10000,1210
2025.10.22 10:45:00,4137.10000,4141.26000,4137.09000,4140.37000,867
2025.10.22 10:46:00,4140.37000,4141.34000,4139.33000,4140.50000,863
2025.10.22 10:47:00,4140.50000,4141.23000,4139.72000,4140.86000,948
2025.10.22 10:48:00,4140.86000,4148.06000,4140.84000,4144.80000,1389
2025.10.22 10:49:00,4144.80000,4146.37000,4141.56000,4142.45000,1262
2025.10.22 10:50:00,4142.45000,4144.68000,4141.24000,4142.77000,930
2025.10.22 10:51:00,4142.77000,4143.12000,4138.58000,4140.11000,876
2025.10.22 10:52:00,4140.11000,4141.46000,4139.60000,4140.96000,649
2025.10.22 10:53:00,4140.96000,4142.78000,4139.86000,4140.46000,766
2025.10.22 10:54:00,4140.46000,4141.31000,4137.81000,4138.26000,853
2025.10.22 10:55:00,4138.26000,4140.40000,4135.56000,4138.62000,1322
2025.10.22 10:56:00,4138.62000,4139.58000,4134.94000,4135.54000,1109
2025.10.22 10:57:00,4135.54000,4136.43000,4132.00000,4132.02000,1510
2025.10.22 10:58:00,4132.02000,4133.74000,4130.76000,4131.68000,1328
2025.10.22 10:59:00,4131.68000,4133.08000,4131.10000,4132.96000,589
2025.10.22 11:00:00,4132.96000,4135.82000,4132.49000,4133.70000,1029
2025.10.22 11:01:00,4133.70000,4134.56000,4129.82000,4130.48000,1035
2025.10.22 11:02:00,4130.48000,4131.02000,4120.93000,4122.76000,2212
2025.10.22 11:03:00,4122.76000,4124.67000,4118.54000,4118.99000,1717
2025.10.22 11:04:00,4118.99000,4120.77000,4115.91000,4117.63000,1974
2025.10.22 11:05:00,4117.63000,4118.82000,4109.80000,4112.81000,2587
2025.10.22 11:06:00,4112.81000,4115.40000,4111.73000,4115.28000,2042
2025.10.22 11:07:00,4115.28000,4119.39000,4114.26000,4117.88000,1621
2025.10.22 11:08:00,4117.88000,4119.39000,4110.36000,4113.83000,1452
2025.10.22 11:09:00,4113.83000,4117.16000,4099.50000,4102.80000,2464
2025.10.22 11:10:00,4102.79000,4106.27000,4100.00000,4103.11000,2145
2025.10.22 11:11:00,4103.11000,4107.16000,4099.25000,4101.89000,1857
2025.10.22 11:12:00,4101.89000,4103.23000,4089.14000,4091.32000,2057
2025.10.22 11:13:00,4091.32000,4094.42000,4085.40000,4087.84000,2001
2025.10.22 11:14:00,4087.84000,4091.23000,4086.73000,4087.96000,1870
2025.10.22 11:15:00,4087.96000,4089.44000,4056.52000,4069.35000,2116
2025.10.22 11:16:00,4069.35000,4070.52000,4063.15000,4069.97000,2589
2025.10.22 11:17:00,4069.97000,4076.57000,4062.13000,4066.12000,2647
2025.10.22 11:18:00,4066.12000,4074.85000,4063.95000,4072.93000,2070
2025.10.22 11:19:00,4072.93000,4081.39000,4072.22000,4081.11000,1542
2025.10.22 11:20:00,4081.11000,4097.75000,4079.64000,4097.71000,2377
2025.10.22 11:21:00,4097.60000,4104.86000,4095.19000,4101.00000,2394
