TimeFrame,Symbol,Candle,DateTime,Open,High,Low,Close,Volume,HL,Body
PERIOD_H4,XAUUSD,14677,2007.06.22 00:00,651.3,656.3,650.6,653.9,4027.0,569.9999999999932,260.0000000000023
PERIOD_H4,XAUUSD,14676,2007.06.24 00:00,654.05,654.45,652.2,652.2,191.0,225.0,184.9999999999909
PERIOD_H4,XAUUSD,14675,2007.06.25 00:00,653.9,654.2,648.5,651.1,7890.0,570.0000000000045,279.99999999999545
PERIOD_H4,XAUUSD,14674,2007.06.26 00:00,651.1,651.85,638.85,641.85,8645.0,1300.0,925.0
PERIOD_H4,XAUUSD,14673,2007.06.27 00:00,640.6,644.7,638.3,643.0,8157.0,640.0000000000091,239.99999999999773
PERIOD_H4,XAUUSD,14672,2007.06.28 00:00,643.1,649.8,642.6,648.35,6485.0,719.9999999999932,525.0
PERIOD_H4,XAUUSD,14671,2007.06.29 00:00,648.8,652.35,646.2,649.35,5891.0,614.9999999999977,55.00000000000682
PERIOD_H4,XAUUSD,14670,2007.07.01 00:00,650.85,651.1,650.2,650.35,173.0,89.99999999999773,50.0
PERIOD_H4,XAUUSD,14669,2007.07.02 00:00,650.2,658.6,648.3,656.2,8458.0,1030.0000000000068,600.0
PERIOD_H4,XAUUSD,14668,2007.07.03 00:00,657.1,658.05,651.7,653.55,5173.0,634.9999999999909,355.0000000000068
PERIOD_H4,XAUUSD,14667,2007.07.04 00:00,652.6,654.8,652.5,654.05,2167.0,229.99999999999545,144.99999999999318
PERIOD_H4,XAUUSD,14666,2007.07.05 00:00,654.1,656.5,645.4,649.1,6277.0,1110.0000000000023,500.0
PERIOD_H4,XAUUSD,14665,2007.07.06 00:00,648.9,656.0,645.0,655.65,7833.0,1100.0,675.0
PERIOD_H4,XAUUSD,14664,2007.07.08 00:00,656.0,656.4,654.8,655.0,197.0,160.00000000000227,100.0
PERIOD_H4,XAUUSD,14663,2007.07.09 00:00,655.2,663.1,653.3,659.9,8912.0,980.0000000000068,469.9999999999932
PERIOD_H4,XAUUSD,14662,2007.07.10 00:00,660.0,664.9,658.4,663.55,7798.0,650.0,354.99999999999545
PERIOD_H4,XAUUSD,14661,2007.07.11 00:00,662.6,665.95,659.5,661.3,7285.0,645.0000000000045,130.00000000000682
PERIOD_H4,XAUUSD,14660,2007.07.12 00:00,660.4,669.3,660.4,666.3,8288.0,889.9999999999977,589.9999999999977
PERIOD_H4,XAUUSD,14659,2007.07.13 00:00,666.8,668.5,663.1,666.6,7514.0,539.9999999999977,19.99999999999318
PERIOD_H4,XAUUSD,14658,2007.07.15 00:00,666.35,667.3,666.3,666.9,179.0,100.0,54.99999999999545
PERIOD_H4,XAUUSD,14657,2007.07.16 00:00,666.1,668.7,663.2,665.45,7442.0,550.0,64.99999999999773
PERIOD_H4,XAUUSD,14656,2007.07.17 00:00,664.8,667.3,662.25,664.8,7392.0,504.99999999999545,0.0
PERIOD_H4,XAUUSD,14655,2007.07.18 00:00,664.4,674.15,664.1,673.2,9792.0,1004.9999999999955,880.0000000000068
PERIOD_H4,XAUUSD,14654,2007.07.19 00:00,672.6,677.6,671.0,676.55,8318.0,660.0000000000023,394.9999999999932
PERIOD_H4,XAUUSD,14653,2007.07.20 00:00,677.5,686.75,674.9,683.1,9093.0,1185.0000000000023,560.0000000000023
PERIOD_H4,XAUUSD,14652,2007.07.22 00:00,683.75,684.7,682.55,682.85,286.0,215.0000000000091,89.99999999999773
PERIOD_H4,XAUUSD,14651,2007.07.23 00:00,682.8,684.95,679.8,682.1,7890.0,515.0000000000091,69.99999999999318
PERIOD_H4,XAUUSD,14650,2007.07.24 00:00,681.2,687.75,679.8,681.25,9238.0,795.0000000000045,4.9999999999954525
PERIOD_H4,XAUUSD,14649,2007.07.25 00:00,681.0,681.8,670.5,675.65,10912.0,1129.9999999999955,535.0000000000023
PERIOD_H4,XAUUSD,14648,2007.07.26 00:00,675.4,676.85,654.5,662.65,13118.0,2235.0000000000023,1275.0
PERIOD_H4,XAUUSD,14647,2007.07.27 00:00,662.7,666.8,656.5,660.9,12013.0,1029.9999999999955,180.00000000000682
PERIOD_H4,XAUUSD,14646,2007.07.29 00:00,661.1,661.95,660.0,661.15,324.0,195.00000000000455,4.9999999999954525
PERIOD_H4,XAUUSD,14645,2007.07.30 00:00,660.7,665.7,659.6,665.15,7789.0,610.0000000000023,444.9999999999932
PERIOD_H4,XAUUSD,14644,2007.07.31 00:00,664.5,668.7,662.9,663.75,9778.0,580.0000000000068,75.0
PERIOD_H4,XAUUSD,14643,2007.08.01 00:00,663.4,667.5,658.8,665.35,12398.0,870.0000000000045,195.00000000000455
PERIOD_H4,XAUUSD,14642,2007.08.02 00:00,666.9,667.1,662.3,665.35,9876.0,480.0000000000068,154.99999999999545
PERIOD_H4,XAUUSD,14641,2007.08.03 00:00,665.1,675.35,664.6,673.45,10561.0,1075.0,835.0000000000023
PERIOD_H4,XAUUSD,14640,2007.08.05 00:00,673.25,675.4,672.5,672.75,331.0,289.9999999999977,50.0
PERIOD_H4,XAUUSD,14639,2007.08.06 00:00,672.6,674.8,668.7,671.55,10500.0,609.9999999999909,105.00000000000682
PERIOD_H4,XAUUSD,14638,2007.08.07 00:00,671.5,672.5,665.8,671.35,10222.0,670.0000000000045,14.999999999997726
PERIOD_H4,XAUUSD,14637,2007.08.08 00:00,671.7,676.7,669.3,673.55,8741.0,740.0000000000091,184.9999999999909
PERIOD_H4,XAUUSD,14636,2007.08.09 00:00,674.4,674.5,658.9,661.8,14151.0,1560.0000000000023,1260.0000000000023
PERIOD_H4,XAUUSD,14635,2007.08.10 00:00,661.2,676.15,657.7,672.6,12240.0,1844.9999999999932,1139.9999999999977
PERIOD_H4,XAUUSD,14634,2007.08.12 00:00,672.5,672.5,670.45,670.6,138.0,204.99999999999545,189.99999999999773
PERIOD_H4,XAUUSD,14633,2007.08.13 00:00,671.4,672.7,668.1,668.9,7628.0,460.0000000000023,250.0
PERIOD_H4,XAUUSD,14632,2007.08.14 00:00,668.9,671.3,665.2,669.65,8514.0,609.9999999999909,75.0
PERIOD_H4,XAUUSD,14631,2007.08.15 00:00,668.9,670.9,661.7,667.9,11736.0,919.9999999999932,100.0
PERIOD_H4,XAUUSD,14630,2007.08.16 00:00,666.5,667.9,641.6,648.9,17084.0,2629.9999999999955,1760.0000000000023
PERIOD_H4,XAUUSD,14629,2007.08.17 00:00,651.2,664.05,645.3,657.5,13792.0,1875.0,629.9999999999955
PERIOD_H4,XAUUSD,14628,2007.08.19 00:00,657.05,657.05,653.65,653.85,302.0,339.9999999999977,319.9999999999932
PERIOD_H4,XAUUSD,14627,2007.08.20 00:00,656.4,660.4,652.7,657.05,11561.0,769.9999999999932,64.99999999999773
PERIOD_H4,XAUUSD,14626,2007.08.21 00:00,657.4,659.9,653.9,657.35,12832.0,600.0,4.9999999999954525
PERIOD_H4,XAUUSD,14625,2007.08.22 00:00,657.2,661.75,654.2,660.3,9821.0,754.9999999999955,309.9999999999909
PERIOD_H4,XAUUSD,14624,2007.08.23 00:00,660.2,664.95,658.2,659.5,10438.0,675.0,70.00000000000455
PERIOD_H4,XAUUSD,14623,2007.08.24 00:00,659.6,668.75,657.2,667.95,9215.0,1154.9999999999955,835.0000000000023
PERIOD_H4,XAUUSD,14622,2007.08.26 00:00,668.05,668.25,667.05,667.45,216.0,120.00000000000455,59.999999999990905
PERIOD_H4,XAUUSD,14621,2007.08.27 00:00,667.7,668.4,665.3,666.1,6650.0,310.0000000000023,160.00000000000227
PERIOD_H4,XAUUSD,14620,2007.08.28 00:00,666.6,668.3,661.65,662.35,10099.0,664.9999999999977,425.0
PERIOD_H4,XAUUSD,14619,2007.08.29 00:00,663.1,668.85,660.7,666.4,8807.0,814.9999999999977,329.99999999999545
PERIOD_H4,XAUUSD,14618,2007.08.30 00:00,667.1,668.05,663.1,665.6,9306.0,494.9999999999932,150.0
PERIOD_H4,XAUUSD,14617,2007.08.31 00:00,664.6,674.5,664.3,672.3,3948.0,1020.0000000000045,769.9999999999932
PERIOD_H4,XAUUSD,14616,2007.09.03 00:00,672.5,673.2,671.2,672.0,885.0,200.0,50.0
PERIOD_H4,XAUUSD,14615,2007.09.04 00:00,672.1,683.0,671.1,681.2,3958.0,1189.9999999999977,910.0000000000023
PERIOD_H4,XAUUSD,14614,2007.09.05 00:00,681.3,682.5,678.0,681.4,4087.0,450.0,10.000000000002274
PERIOD_H4,XAUUSD,14613,2007.09.06 00:00,681.5,697.4,679.8,694.9,5929.0,1760.0000000000023,1339.9999999999977
PERIOD_H4,XAUUSD,14612,2007.09.07 00:00,694.8,706.5,691.8,699.9,6170.0,1470.0000000000045,510.0000000000023
PERIOD_H4,XAUUSD,14611,2007.09.10 00:00,699.0,706.6,698.8,702.6,5037.0,780.0000000000068,360.0000000000023
PERIOD_H4,XAUUSD,14610,2007.09.11 00:00,702.5,713.9,702.0,712.0,5306.0,1189.9999999999977,950.0
PERIOD_H4,XAUUSD,14609,2007.09.12 00:00,712.1,713.9,705.4,711.1,5407.0,850.0,100.0
PERIOD_H4,XAUUSD,14608,2007.09.13 00:00,711.0,711.9,703.0,707.8,5174.0,889.9999999999977,320.00000000000455
PERIOD_H4,XAUUSD,14607,2007.09.14 00:00,707.7,717.0,703.6,707.2,5807.0,1339.9999999999977,50.0
PERIOD_H4,XAUUSD,14606,2007.09.17 00:00,707.3,719.7,705.9,717.4,5193.0,1380.0000000000068,1010.0000000000023
PERIOD_H4,XAUUSD,14605,2007.09.18 00:00,717.2,726.8,711.3,723.1,6434.0,1550.0,589.9999999999977
PERIOD_H4,XAUUSD,14604,2007.09.19 00:00,723.2,726.2,719.3,720.8,6543.0,690.0000000000091,240.0000000000091
PERIOD_H4,XAUUSD,14603,2007.09.20 00:00,720.6,738.1,720.5,733.3,7126.0,1760.0000000000023,1269.9999999999932
PERIOD_H4,XAUUSD,14602,2007.09.21 00:00,733.2,739.1,726.2,730.4,6693.0,1289.9999999999977,280.0000000000068
PERIOD_H4,XAUUSD,14601,2007.09.24 00:00,731.0,735.9,725.7,729.9,6062.0,1019.9999999999932,110.00000000000227
PERIOD_H4,XAUUSD,14600,2007.09.25 00:00,729.8,733.2,721.7,731.2,6681.0,1150.0,140.0000000000091
PERIOD_H4,XAUUSD,14599,2007.09.26 00:00,731.1,736.5,725.9,728.3,5543.0,1060.0000000000023,280.0000000000068
PERIOD_H4,XAUUSD,14598,2007.09.27 00:00,728.2,735.6,726.5,733.9,5471.0,910.0000000000023,569.9999999999932
PERIOD_H4,XAUUSD,14597,2007.09.28 00:00,734.0,745.5,732.9,742.6,6903.0,1260.0000000000023,860.0000000000023
PERIOD_H4,XAUUSD,14596,2007.10.01 00:00,743.7,747.5,740.8,746.7,5491.0,670.0000000000045,300.0
PERIOD_H4,XAUUSD,14595,2007.10.02 00:00,746.4,747.4,724.2,731.2,8444.0,2319.999999999993,1519.9999999999932
PERIOD_H4,XAUUSD,14594,2007.10.03 00:00,731.1,735.7,725.9,727.5,6454.0,980.0000000000068,360.0000000000023
PERIOD_H4,XAUUSD,14593,2007.10.04 00:00,727.6,738.2,720.3,737.5,7291.0,1790.000000000009,989.9999999999977
PERIOD_H4,XAUUSD,14592,2007.10.05 00:00,737.4,744.0,726.7,741.6,5426.0,1729.9999999999955,420.00000000000455
PERIOD_H4,XAUUSD,14591,2007.10.08 00:00,740.9,742.0,730.8,732.8,4374.0,1120.0000000000045,810.0000000000023
PERIOD_H4,XAUUSD,14590,2007.10.09 00:00,732.9,740.3,726.2,737.6,6040.0,1409.999999999991,470.00000000000455
PERIOD_H4,XAUUSD,14589,2007.10.10 00:00,737.8,745.7,737.0,740.5,5662.0,870.0000000000045,270.00000000000455
PERIOD_H4,XAUUSD,14588,2007.10.11 00:00,740.6,753.4,739.1,747.3,6957.0,1429.9999999999955,669.9999999999932
PERIOD_H4,XAUUSD,14587,2007.10.12 00:00,747.4,752.1,744.5,749.2,6735.0,760.0000000000023,180.00000000000682
PERIOD_H4,XAUUSD,14586,2007.10.15 00:00,749.0,759.9,747.2,758.8,5971.0,1269.9999999999932,979.9999999999955
PERIOD_H4,XAUUSD,14585,2007.10.16 00:00,759.1,766.6,753.2,760.1,8774.0,1339.9999999999977,100.0
PERIOD_H4,XAUUSD,14584,2007.10.17 00:00,760.0,764.6,751.3,754.5,9859.0,1330.0000000000068,550.0
PERIOD_H4,XAUUSD,14583,2007.10.18 00:00,754.8,768.6,754.2,767.7,7899.0,1439.9999999999977,1290.000000000009
PERIOD_H4,XAUUSD,14582,2007.10.19 00:00,767.6,770.8,757.8,765.7,7881.0,1300.0,189.99999999999773
PERIOD_H4,XAUUSD,14581,2007.10.22 00:00,766.2,768.1,745.0,753.7,12021.0,2310.0000000000023,1250.0
PERIOD_H4,XAUUSD,14580,2007.10.23 00:00,753.8,760.7,752.4,759.1,6475.0,830.0000000000068,530.0000000000068
PERIOD_H4,XAUUSD,14579,2007.10.24 00:00,759.2,763.8,753.5,763.2,6720.0,1029.9999999999955,400.0
PERIOD_H4,XAUUSD,14578,2007.10.25 00:00,763.3,769.1,761.4,768.8,6071.0,770.0000000000045,550.0
PERIOD_H4,XAUUSD,14577,2007.10.26 00:00,768.7,785.6,767.9,784.7,7376.0,1770.0000000000045,1600.0
PERIOD_H4,XAUUSD,14576,2007.10.29 00:00,784.2,794.2,784.1,791.3,8622.0,1010.0000000000023,709.9999999999909
PERIOD_H4,XAUUSD,14575,2007.10.30 00:00,791.2,791.9,778.8,781.3,7454.0,1310.0000000000023,990.0000000000091
PERIOD_H4,XAUUSD,14574,2007.10.31 00:00,781.2,797.0,776.5,796.4,9464.0,2050.0,1519.9999999999932
PERIOD_H4,XAUUSD,14573,2007.11.01 00:00,796.3,799.0,783.6,786.8,9465.0,1539.9999999999977,950.0
PERIOD_H4,XAUUSD,14572,2007.11.02 00:00,786.7,807.8,786.7,807.1,8653.0,2109.999999999991,2039.9999999999977
PERIOD_H4,XAUUSD,14571,2007.11.05 00:00,806.9,811.3,800.5,805.7,8045.0,1079.9999999999955,119.99999999999318
PERIOD_H4,XAUUSD,14570,2007.11.06 00:00,805.8,824.6,805.7,824.4,8860.0,1889.9999999999977,1860.0000000000023
PERIOD_H4,XAUUSD,14569,2007.11.07 00:00,824.3,845.4,821.9,830.4,16208.0,2350.0,610.0000000000023
PERIOD_H4,XAUUSD,14568,2007.11.08 00:00,830.3,845.3,822.7,832.9,15184.0,2259.999999999991,260.0000000000023
PERIOD_H4,XAUUSD,14567,2007.11.09 00:00,832.7,838.4,826.4,830.7,12696.0,1200.0,200.0
PERIOD_H4,XAUUSD,14566,2007.11.12 00:00,829.9,832.2,791.2,792.7,14915.0,4100.0,3719.999999999993
PERIOD_H4,XAUUSD,14565,2007.11.13 00:00,792.6,808.7,790.0,801.3,13717.0,1870.0000000000045,869.9999999999932
PERIOD_H4,XAUUSD,14564,2007.11.14 00:00,801.4,815.7,798.7,811.4,9389.0,1700.0,1000.0
