TimeFrame,Symbol,Candle,DateTime,Open,High,Low,Close,Volume,HL,Body
PERIOD_D1,XAUUSD,4856,2007.06.22 00:00,651.3,656.3,650.6,653.9,4027.0,569.9999999999932,260.0000000000023
PERIOD_D1,XAUUSD,4855,2007.06.24 00:00,654.05,654.45,652.2,652.2,191.0,225.0,184.9999999999909
PERIOD_D1,XAUUSD,4854,2007.06.25 00:00,653.9,654.2,648.5,651.1,7890.0,570.0000000000045,279.99999999999545
PERIOD_D1,XAUUSD,4853,2007.06.26 00:00,651.1,651.85,638.85,641.85,8645.0,1300.0,925.0
PERIOD_D1,XAUUSD,4852,2007.06.27 00:00,640.6,644.7,638.3,643.0,8157.0,640.0000000000091,239.99999999999773
PERIOD_D1,XAUUSD,4851,2007.06.28 00:00,643.1,649.8,642.6,648.35,6485.0,719.9999999999932,525.0
PERIOD_D1,XAUUSD,4850,2007.06.29 00:00,648.8,652.35,646.2,649.35,5891.0,614.9999999999977,55.00000000000682
PERIOD_D1,XAUUSD,4849,2007.07.01 00:00,650.85,651.1,650.2,650.35,173.0,89.99999999999773,50.0
PERIOD_D1,XAUUSD,4848,2007.07.02 00:00,650.2,658.6,648.3,656.2,8458.0,1030.0000000000068,600.0
PERIOD_D1,XAUUSD,4847,2007.07.03 00:00,657.1,658.05,651.7,653.55,5173.0,634.9999999999909,355.0000000000068
PERIOD_D1,XAUUSD,4846,2007.07.04 00:00,652.6,654.8,652.5,654.05,2167.0,229.99999999999545,144.99999999999318
PERIOD_D1,XAUUSD,4845,2007.07.05 00:00,654.1,656.5,645.4,649.1,6277.0,1110.0000000000023,500.0
PERIOD_D1,XAUUSD,4844,2007.07.06 00:00,648.9,656.0,645.0,655.65,7833.0,1100.0,675.0
PERIOD_D1,XAUUSD,4843,2007.07.08 00:00,656.0,656.4,654.8,655.0,197.0,160.00000000000227,100.0
PERIOD_D1,XAUUSD,4842,2007.07.09 00:00,655.2,663.1,653.3,659.9,8912.0,980.0000000000068,469.9999999999932
PERIOD_D1,XAUUSD,4841,2007.07.10 00:00,660.0,664.9,658.4,663.55,7798.0,650.0,354.99999999999545
PERIOD_D1,XAUUSD,4840,2007.07.11 00:00,662.6,665.95,659.5,661.3,7285.0,645.0000000000045,130.00000000000682
PERIOD_D1,XAUUSD,4839,2007.07.12 00:00,660.4,669.3,660.4,666.3,8288.0,889.9999999999977,589.9999999999977
PERIOD_D1,XAUUSD,4838,2007.07.13 00:00,666.8,668.5,663.1,666.6,7514.0,539.9999999999977,19.99999999999318
PERIOD_D1,XAUUSD,4837,2007.07.15 00:00,666.35,667.3,666.3,666.9,179.0,100.0,54.99999999999545
PERIOD_D1,XAUUSD,4836,2007.07.16 00:00,666.1,668.7,663.2,665.45,7442.0,550.0,64.99999999999773
PERIOD_D1,XAUUSD,4835,2007.07.17 00:00,664.8,667.3,662.25,664.8,7392.0,504.99999999999545,0.0
PERIOD_D1,XAUUSD,4834,2007.07.18 00:00,664.4,674.15,664.1,673.2,9792.0,1004.9999999999955,880.0000000000068
PERIOD_D1,XAUUSD,4833,2007.07.19 00:00,672.6,677.6,671.0,676.55,8318.0,660.0000000000023,394.9999999999932
PERIOD_D1,XAUUSD,4832,2007.07.20 00:00,677.5,686.75,674.9,683.1,9093.0,1185.0000000000023,560.0000000000023
PERIOD_D1,XAUUSD,4831,2007.07.22 00:00,683.75,684.7,682.55,682.85,286.0,215.0000000000091,89.99999999999773
PERIOD_D1,XAUUSD,4830,2007.07.23 00:00,682.8,684.95,679.8,682.1,7890.0,515.0000000000091,69.99999999999318
PERIOD_D1,XAUUSD,4829,2007.07.24 00:00,681.2,687.75,679.8,681.25,9238.0,795.0000000000045,4.9999999999954525
PERIOD_D1,XAUUSD,4828,2007.07.25 00:00,681.0,681.8,670.5,675.65,10912.0,1129.9999999999955,535.0000000000023
PERIOD_D1,XAUUSD,4827,2007.07.26 00:00,675.4,676.85,654.5,662.65,13118.0,2235.0000000000023,1275.0
PERIOD_D1,XAUUSD,4826,2007.07.27 00:00,662.7,666.8,656.5,660.9,12013.0,1029.9999999999955,180.00000000000682
PERIOD_D1,XAUUSD,4825,2007.07.29 00:00,661.1,661.95,660.0,661.15,324.0,195.00000000000455,4.9999999999954525
PERIOD_D1,XAUUSD,4824,2007.07.30 00:00,660.7,665.7,659.6,665.15,7789.0,610.0000000000023,444.9999999999932
PERIOD_D1,XAUUSD,4823,2007.07.31 00:00,664.5,668.7,662.9,663.75,9778.0,580.0000000000068,75.0
PERIOD_D1,XAUUSD,4822,2007.08.01 00:00,663.4,667.5,658.8,665.35,12398.0,870.0000000000045,195.00000000000455
PERIOD_D1,XAUUSD,4821,2007.08.02 00:00,666.9,667.1,662.3,665.35,9876.0,480.0000000000068,154.99999999999545
PERIOD_D1,XAUUSD,4820,2007.08.03 00:00,665.1,675.35,664.6,673.45,10561.0,1075.0,835.0000000000023
PERIOD_D1,XAUUSD,4819,2007.08.05 00:00,673.25,675.4,672.5,672.75,331.0,289.9999999999977,50.0
PERIOD_D1,XAUUSD,4818,2007.08.06 00:00,672.6,674.8,668.7,671.55,10500.0,609.9999999999909,105.00000000000682
PERIOD_D1,XAUUSD,4817,2007.08.07 00:00,671.5,672.5,665.8,671.35,10222.0,670.0000000000045,14.999999999997726
PERIOD_D1,XAUUSD,4816,2007.08.08 00:00,671.7,676.7,669.3,673.55,8741.0,740.0000000000091,184.9999999999909
PERIOD_D1,XAUUSD,4815,2007.08.09 00:00,674.4,674.5,658.9,661.8,14151.0,1560.0000000000023,1260.0000000000023
PERIOD_D1,XAUUSD,4814,2007.08.10 00:00,661.2,676.15,657.7,672.6,12240.0,1844.9999999999932,1139.9999999999977
PERIOD_D1,XAUUSD,4813,2007.08.12 00:00,672.5,672.5,670.45,670.6,138.0,204.99999999999545,189.99999999999773
PERIOD_D1,XAUUSD,4812,2007.08.13 00:00,671.4,672.7,668.1,668.9,7628.0,460.0000000000023,250.0
PERIOD_D1,XAUUSD,4811,2007.08.14 00:00,668.9,671.3,665.2,669.65,8514.0,609.9999999999909,75.0
PERIOD_D1,XAUUSD,4810,2007.08.15 00:00,668.9,670.9,661.7,667.9,11736.0,919.9999999999932,100.0
PERIOD_D1,XAUUSD,4809,2007.08.16 00:00,666.5,667.9,641.6,648.9,17084.0,2629.9999999999955,1760.0000000000023
PERIOD_D1,XAUUSD,4808,2007.08.17 00:00,651.2,664.05,645.3,657.5,13792.0,1875.0,629.9999999999955
PERIOD_D1,XAUUSD,4807,2007.08.19 00:00,657.05,657.05,653.65,653.85,302.0,339.9999999999977,319.9999999999932
PERIOD_D1,XAUUSD,4806,2007.08.20 00:00,656.4,660.4,652.7,657.05,11561.0,769.9999999999932,64.99999999999773
